State,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Missouri,215.35,202.7875,194.545,188.1675,181.2375,177.195,184.9775,191.085,195.6675,204.6275,202.4575,193.745,183.235,173.21,164.0325,156.145,147.61,139.8775,132.3975,126.6375,122.66,117.6225,112.7825,107.0725,103.665,101.135
Montana,358.7175,338.1975,325.13,313.03,294.4925,285.05,292.145,303.0025,312.2125,314.595,296.0025,265.9575,238.0525,216.945,199.89,188.16,177.845,170.78,165.13,161.6525,157.7975,151.715,143.5875,130.7325,116.4,105.75
Nebraska,233.15,223.625,212.9925,205.315,196.3925,190.15,191.45,193.6125,193.125,199.15,197.45,192.215,185.885,178.505,171.55,165.5375,161.075,156.175,149.465,141.95,135.095,128.7725,122.5675,116.1025,108.39,101.5425
Nevada,208.88,191.14,171.3725,151.5575,122.8775,115.775,130.21,142.0375,191.245,254.1025,272.655,258.185,212.51,164.1075,145.93,135.5125,126.9975,122.6725,119.125,117.935,115.59,113.2225,109.6,105.87,103.5725,101.015
New Hampshire,222.05,212.9475,203.1825,195.9875,187.965,189.0525,196.395,203.735,212.0025,228.6775,234.2125,233.5775,215.88,196.6,176.8625,157.2475,137.8625,121.1225,109.97,102.05,97.515,94.7025,93.79,92.345,94.1875,97.79
New Jersey,224.3575,217.7025,213.3425,208.15,203.4275,206.9375,218.4975,224.3475,238.26,254.81,257.4925,243.155,213.045,186.09,163.44,143.025,127.9525,116.325,108.7025,103.9775,102.4175,101.6625,102.0225,101.1775,100.81,99.4
New Mexico,224.1675,216.81,212.105,207.8325,203.395,202.9275,214.2825,223.4475,236.3875,242.29,231.0725,204,180.95,167.3125,157.5,150.4475,145.9,144.885,141.5925,139.6575,138.565,136.22,129.3925,116.7225,108.0775,101.555
New York,222.37,214.8775,208.79,204.665,200.245,200.32,205.6575,207.3775,214.2125,218.665,217.3975,208.3425,190.81,171.7,153.3225,137.2825,124.61,113.8625,105.5725,100.975,99.7025,99.1125,99.73,100.8875,101.3725,99.9775
North Carolina,216.1525,202.89,191.5175,185.2575,176.6575,175.715,184.2175,193.8825,198.9175,201.42,192.0525,177.77,166.065,158.66,153.735,149.36,144.6125,139.2025,133.3425,128.2225,123.015,117.4575,112.23,106.4475,103.3075,100.5825
North Dakota,309.7125,300.905,286.4225,265.97,247.8475,229.7325,221.5575,215.8575,212.8175,207.7475,198.7725,187.06,173.295,162.2375,152.825,145.015,140.395,136.8225,133.5525,129.01,125.6025,122.6375,118.2125,111.2275,104.0225,100.3625
Ohio,181.9275,172.6275,165.53,158.685,152.68,149.105,155.0925,158.485,163.6225,173.215,175.8225,174.0825,169.19,163.73,157.965,152.4475,147.1725,141.56,135.2225,130.43,126.68,121.365,116.3825,110.95,106.2325,101.575
Oklahoma,226.1825,221.2875,208.93,202.72,194.645,189.4025,193.395,193.7275,192.7225,192.8525,183.9675,174.1875,165.3725,159.095,153.2675,147.8675,142.3025,136.595,129.9525,124.4125,121.1125,117.0175,113.895,108.6125,103.56,101.095
Oregon,371.3675,333.9,306.04,284.045,255.1675,246.65,266.53,287.33,315.88,336.6725,320.4525,278.0775,238.3225,215.4675,201.115,190.69,182.06,176.385,169.9925,164.7425,156.005,145.79,134.615,121.7475,111.96,103.0775
Pennsylvania,207.855,200.21,194.9625,190.455,184.3225,183.38,187.93,190.1625,196.1775,201.265,196.345,183.24,165.3,149.375,137.04,127.015,119.4975,114.105,109.855,107.415,106.2275,105.12,105.1875,103.6375,102.4225,100.4925
Rhode Island,204.8075,194.0325,187.5075,178.62,175.045,176.3675,184.9925,193.935,205.26,225.42,236.5475,234.51,212.3625,182.405,155.2975,130.6825,114.4425,102.64,95.655,91.8,91.1225,91.91,92.59,93.04,95.4475,97.4725
South Carolina,219.26,205.845,191.935,184.225,174.755,172.68,181.87,191.6675,197.275,200.9,192.99,179.4725,167.5675,158.6475,153.9825,148.76,143.57,136.8575,129.4825,123.6975,119.28,114.37,110.6375,106.8425,104.2475,101.2725
South Dakota,267.92,254.61,245.22,235.0075,224.2075,219.6825,218.8925,221.625,222.225,218.66,211.6075,202.0225,190.0875,180.085,171.6725,165.49,158.57,151.7075,145.18,139.78,135.3325,129.235,124.9925,116.5775,108.6675,102.0025
Tennessee,229.7425,215.6725,203.3875,193.9425,183.475,179.9225,184.3775,190.49,197.2175,202.5275,194.3125,180.7325,168.9375,160.8125,154.5,150.0475,146.4175,142.0225,136.3575,131.205,126.5125,120.435,113.995,107.62,103.6675,100.835
Texas,257.5525,239.5275,223.175,208.11,195.005,186.7,188.9175,189.1275,190.19,189.43,180.0725,169.2775,161.24,156.335,152.5675,147.69,140.505,131.265,123.4625,117.4,114.8175,112.2425,109.905,106.1925,102.9025,100.5125
Utah,342.76,315.44,296.3125,282.72,256.195,239.74,255.0725,270.9775,302.9825,318.0125,283.6425,242.78,218.2025,206.3175,201.0975,197.8375,194.2125,190.105,185.3875,179.0725,172.77,160.0925,146.47,125.855,110.28,102.0175
Vermont,215.53,214.78,208.47,209.2225,203.4025,202.1325,202.25,207.5375,211.085,215.055,211.4225,199.4025,177.7675,156.0625,144.4075,132.7275,121.435,111.475,105.7675,101.6625,102.5475,99.645,100.97,100.455,99.7575,98.57
Virginia,241.41,231.62,225.3875,219.655,210.6575,205.2925,211.7175,216.6475,226.115,247.145,244.51,223.9225,193.0925,169.3225,152.7775,139.9025,128.1875,119.7025,113.36,110.1825,107.8825,105.9275,104.47,102.2775,101.4525,100.07
Washington,300.2175,271.7825,248.0375,233.235,214.3,209.7575,229.665,242.3575,264.94,280.5025,263.48,230.475,199.6,179.6625,168.97,160.655,153.06,145.6225,137.12,128.09,122.91,120.5275,118.065,111.5975,106.35,101.87
West Virginia,210.445,207.8425,204.4425,195.005,191.6875,185.0475,188.2175,187.17,191.0375,192.62,185.635,176.9825,164.99,154.19,146.975,140.8525,138.035,136.22,132.9,129.6475,127.4875,124.1925,118.895,112.12,106.2225,100.93
Wisconsin,232.7575,220.7925,211.535,205.4725,198.2975,197.855,206.3225,214.01,220.07,227.055,226.56,219.645,208.25,194.59,182.9625,173.33,164.2425,154.9475,146.9425,141.15,136.785,131.7775,126.23,117.56,108.945,102.3075
Wyoming,326.66,323.44,311.1,298.3275,290.565,282.08,281.5125,289.4,302.82,302.0275,278.47,247.2575,222.9575,203.115,189.605,174.695,166.37,159.4175,154.82,150.1025,146.4875,141.0125,131.4775,118.1675,109.78,103.9525
